date,contract_preamble,volume,0.5,0.6,0.7,0.3,0.4,0.1,0.2,0.8,0.9,1,1.1,1.2,0,1.3,-0.1
2021-07-01,CPI-21JUN,494,70.40816326530613,29.591836734693878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-02,CPI-21JUN,220,73.46938775510205,26.53061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-03,CPI-21JUN,0,73.46938775510205,26.53061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-04,CPI-21JUN,0,73.46938775510205,26.53061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-05,CPI-21JUN,100,73.46938775510205,26.53061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-06,CPI-21JUN,0,73.46938775510205,26.53061224489796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-07,CPI-21JUN,15,68.36734693877551,31.632653061224488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-08,CPI-21JUN,401,69.38775510204081,30.612244897959183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-09,CPI-21JUN,428,66.3265306122449,33.673469387755105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-10,CPI-21JUN,0,66.3265306122449,33.673469387755105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-11,CPI-21JUN,1331,75.51020408163265,24.489795918367346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-12,CPI-21JUN,1140,79.59183673469387,20.408163265306122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-13,CPI-21JUL,16,NA,52.04081632653061,47.95918367346939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-14,CPI-21JUL,327,NA,56.12244897959184,43.87755102040816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-15,CPI-21JUL,455,NA,55.10204081632653,44.89795918367347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-16,CPI-21JUL,40,NA,61.224489795918366,38.775510204081634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-17,CPI-21JUL,25,NA,59.183673469387756,40.816326530612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-18,CPI-21JUL,50,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-19,CPI-21JUL,260,NA,61.224489795918366,38.775510204081634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-20,CPI-21JUL,351,NA,61.224489795918366,38.775510204081634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-21,CPI-21JUL,25,NA,62.244897959183675,37.755102040816325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-22,CPI-21JUL,167,NA,60.204081632653065,39.795918367346935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-23,CPI-21JUL,100,NA,60.204081632653065,39.795918367346935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-24,CPI-21JUL,1,NA,60.204081632653065,39.795918367346935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-25,CPI-21JUL,0,NA,60.204081632653065,39.795918367346935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-26,CPI-21JUL,231,NA,60.204081632653065,39.795918367346935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-27,CPI-21JUL,249,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-28,CPI-21JUL,673,NA,53.06122448979592,46.93877551020408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-29,CPI-21JUL,225,NA,54.08163265306123,45.91836734693877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-30,CPI-21JUL,163,NA,51.02040816326531,48.97959183673469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-31,CPI-21JUL,50,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-01,CPI-21JUL,125,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-02,CPI-21JUL,463,NA,47.95918367346939,52.04081632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-03,CPI-21JUL,1379,NA,41.83673469387756,58.16326530612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-04,CPI-21JUL,1629,NA,52.04081632653061,47.95918367346939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-05,CPI-21JUL,620,NA,52.04081632653061,47.95918367346939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-06,CPI-21JUL,852,NA,45.91836734693877,54.08163265306123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-07,CPI-21JUL,72,NA,43.877551020408156,56.122448979591844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-08,CPI-21JUL,295,NA,43.877551020408156,56.122448979591844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-09,CPI-21JUL,2823,NA,51.02040816326531,48.97959183673469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-10,CPI-21JUL,10896,NA,61.224489795918366,38.775510204081634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-14,CPI-21AUG,0,NA,NA,NA,63.265306122448976,36.734693877551024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-15,CPI-21AUG,0,NA,NA,NA,63.265306122448976,36.734693877551024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-16,CPI-21AUG,6,NA,NA,NA,62.244897959183675,37.755102040816325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-17,CPI-21AUG,120,NA,NA,NA,58.16326530612245,41.83673469387755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-18,CPI-21AUG,26,NA,NA,NA,59.183673469387756,40.816326530612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-19,CPI-21AUG,0,NA,NA,NA,59.183673469387756,40.816326530612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-20,CPI-21AUG,3,NA,NA,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-21,CPI-21AUG,0,NA,NA,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-22,CPI-21AUG,0,NA,NA,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-23,CPI-21AUG,0,NA,NA,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-24,CPI-21AUG,0,NA,NA,NA,57.142857142857146,42.857142857142854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-25,CPI-21AUG,16,NA,NA,NA,59.183673469387756,40.816326530612244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
