date,contract_preamble,expiry_date,daily_volume,mean,median,mode,skewness,kurtosis,variance
2021-07-06,U3-21JUL,2021-08-05,0,5.775510204081632,5.8,5.8,-1.0000000000000155,-0.6402547297297718,0.0018492294877134397
2021-07-07,U3-21JUL,2021-08-05,30,5.775510204081632,5.8,5.8,-1.0000000000000155,-0.6402547297297718,0.0018492294877134397
2021-07-08,U3-21JUL,2021-08-05,25,5.779591836734694,5.8,5.8,-1.0000000000000373,0.09359769230771064,0.0016243231986672103
2021-07-09,U3-21JUL,2021-08-05,313,5.777551020408163,5.8,5.8,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-10,U3-21JUL,2021-08-05,0,5.777551020408163,5.8,5.8,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-11,U3-21JUL,2021-08-05,61,5.771428571428572,5.8,5.8,-0.9999999999999688,-1.137809999999927,0.0020408163265305977
2021-07-12,U3-21JUL,2021-08-05,4,5.777551020408163,5.8,5.8,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-13,U3-21JUL,2021-08-05,165,5.7744897959183685,5.8,5.8,-0.999999999999985,-0.7825573150683653,0.0019002498958767045
2021-07-14,U3-21JUL,2021-08-05,50,5.7744897959183685,5.8,5.8,-0.999999999999985,-0.7825573150683653,0.0019002498958767045
2021-07-15,U3-21JUL,2021-08-05,215,5.7673469387755105,5.8,5.8,-0.9999999999999883,-1.4834437499999769,0.0021990837151186853
2021-07-16,U3-21JUL,2021-08-05,55,5.771428571428572,5.8,5.8,-0.9999999999999688,-1.137809999999927,0.0020408163265305977
2021-07-17,U3-21JUL,2021-08-05,100,5.766326530612245,5.8,5.8,-0.9999999999999923,-1.552010769230755,0.0022334443981674146
2021-07-18,U3-21JUL,2021-08-05,50,5.768367346938776,5.8,5.8,-1.000000000000012,-1.4083402503610636,0.0021626405664306385
2021-07-19,U3-21JUL,2021-08-05,14,5.766326530612245,5.8,5.8,-0.9999999999999923,-1.552010769230755,0.0022334443981674146
2021-07-20,U3-21JUL,2021-08-05,216,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-21,U3-21JUL,2021-08-05,10,5.7673469387755105,5.8,5.8,-0.9999999999999883,-1.4834437499999769,0.0021990837151186853
2021-07-22,U3-21JUL,2021-08-05,20,5.7673469387755105,5.8,5.8,-0.9999999999999883,-1.4834437499999769,0.0021990837151186853
2021-07-23,U3-21JUL,2021-08-05,0,5.7673469387755105,5.8,5.8,-0.9999999999999883,-1.4834437499999769,0.0021990837151186853
2021-07-24,U3-21JUL,2021-08-05,152,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-25,U3-21JUL,2021-08-05,0,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-26,U3-21JUL,2021-08-05,180,5.7622448979591825,5.8,5.8,-1.0000000000000069,-1.7697725742136048,0.002350062473969163
2021-07-27,U3-21JUL,2021-08-05,108,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-28,U3-21JUL,2021-08-05,0,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-29,U3-21JUL,2021-08-05,0,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-30,U3-21JUL,2021-08-05,53,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-07-31,U3-21JUL,2021-08-05,101,5.761224489795918,5.8,5.8,-1.0000000000000098,-1.8118436842105403,0.0023740108288213073
2021-08-01,U3-21JUL,2021-08-05,0,5.761224489795918,5.8,5.8,-1.0000000000000098,-1.8118436842105403,0.0023740108288213073
2021-08-02,U3-21JUL,2021-08-05,447,5.757142857142857,5.8,5.8,-1.0000000000000207,-1.9382249999999999,0.0024489795918367172
2021-08-03,U3-21JUL,2021-08-05,898,5.756122448979593,5.8,5.8,-1.000000000000003,-1.9602237209302176,0.002462515618492277
2021-08-04,U3-21JUL,2021-08-05,1320,5.764285714285715,5.8,5.8,-1,-1.6714199999999566,0.0022959183673469225
2021-08-05,U3-21JUL,2021-08-05,1120,5.753061224489796,5.8,5.8,-0.9999999999999919,-2.0051493311036754,0.002490628904623056
2021-08-08,U3-21AUG,2021-09-02,150,5.34795918367347,5.3,5.3,0.9999999999999947,-2.013357822277851,0.0024958350687213486
2021-08-09,U3-21AUG,2021-09-02,238,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-10,U3-21AUG,2021-09-02,0,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-11,U3-21AUG,2021-09-02,0,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-12,U3-21AUG,2021-09-02,0,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-13,U3-21AUG,2021-09-02,1,5.35204081632653,5.3999999999999995,5.3999999999999995,-0.9999999999999947,-2.013357822277851,0.0024958350687213486
2021-08-14,U3-21AUG,2021-09-02,63,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-15,U3-21AUG,2021-09-02,0,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-16,U3-21AUG,2021-09-02,30,5.346938775510204,5.3,5.3,0.9999999999999919,-2.005149331103684,0.002490628904623056
2021-08-17,U3-21AUG,2021-09-02,40,5.346938775510204,5.3,5.3,0.9999999999999919,-2.005149331103684,0.002490628904623056
2021-08-18,U3-21AUG,2021-09-02,201,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-19,U3-21AUG,2021-09-02,48,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-20,U3-21AUG,2021-09-02,0,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-21,U3-21AUG,2021-09-02,1,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-22,U3-21AUG,2021-09-02,100,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-23,U3-21AUG,2021-09-02,69,5.34795918367347,5.3,5.3,0.9999999999999947,-2.013357822277851,0.0024958350687213486
2021-08-24,U3-21AUG,2021-09-02,7,5.34795918367347,5.3,5.3,0.9999999999999947,-2.013357822277851,0.0024958350687213486
2021-08-25,U3-21AUG,2021-09-02,2,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-26,U3-21AUG,2021-09-02,70,5.35,5.35,5.3,1,-2.0199,0.0024999999999999823
2021-08-27,U3-21AUG,2021-09-02,52,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-28,U3-21AUG,2021-09-02,0,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-29,U3-21AUG,2021-09-02,0,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-30,U3-21AUG,2021-09-02,0,5.348979591836734,5.3,5.3,0.9999999999999974,-2.0182664999999993,0.0024989587671803235
2021-08-31,U3-21AUG,2021-09-02,702,5.337755102040816,5.3,5.3,1.0000000000000069,-1.7697725742135684,0.002350062473969163
2021-09-01,U3-21AUG,2021-09-02,667,5.336734693877552,5.3,5.3,1.0000000000000033,-1.7230596774194,0.002324031653477701
2021-09-02,U3-21AUG,2021-09-02,192,5.33469387755102,5.3,5.3,0.9999999999999964,-1.6145277573529344,0.002265722615576827
2021-09-07,U3-21SEP,2021-10-07,61,5.130612244897959,5.1,5.1,1.0000000000000082,-1.3261429411764885,0.002124114952103275
2021-09-08,U3-21SEP,2021-10-07,121,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-09,U3-21SEP,2021-10-07,0,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-10,U3-21SEP,2021-10-07,0,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-11,U3-21SEP,2021-10-07,0,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-12,U3-21SEP,2021-10-07,0,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-13,U3-21SEP,2021-10-07,0,5.128571428571428,5.1,5.1,1.0000000000000002,-1.13781,0.0020408163265305977
2021-09-14,U3-21SEP,2021-10-07,11,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-15,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-16,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-17,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-18,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-19,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-20,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-21,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-22,U3-21SEP,2021-10-07,60,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-23,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-24,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-25,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-26,U3-21SEP,2021-10-07,60,5.1295918367346935,5.1,5.1,1.0000000000000044,-1.2362118440779706,0.002083506872136595
2021-09-27,U3-21SEP,2021-10-07,0,5.1295918367346935,5.1,5.1,1.0000000000000044,-1.2362118440779706,0.002083506872136595
2021-09-28,U3-21SEP,2021-10-07,0,5.1295918367346935,5.1,5.1,1.0000000000000044,-1.2362118440779706,0.002083506872136595
2021-09-29,U3-21SEP,2021-10-07,34,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-09-30,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-10-01,U3-21SEP,2021-10-07,0,5.127551020408164,5.1,5.1,1.0000000000000273,-1.0300859154930253,0.001996043315285284
2021-10-02,U3-21SEP,2021-10-07,21,5.126530612244898,5.1,5.1,0.9999999999999903,-0.9120519230769837,0.0019491878384006527
2021-10-03,U3-21SEP,2021-10-07,61,5.130612244897959,5.1,5.1,1.0000000000000082,-1.3261429411764885,0.002124114952103275
2021-10-04,U3-21SEP,2021-10-07,26,5.126530612244898,5.1,5.1,0.9999999999999903,-0.9120519230769837,0.0019491878384006527
2021-10-05,U3-21SEP,2021-10-07,621,5.1295918367346935,5.1,5.1,1.0000000000000044,-1.2362118440779706,0.002083506872136595
